Process,Comm,IO,CPU,Total
1,0.000000,4.402287,24.670411,29.072698
1,0.000000,4.665369,26.679046,31.344415
1,0.000000,4.500255,26.641586,31.141841
1,0.000000,4.450884,26.612410,31.063294
1,0.000000,3.969497,26.632437,30.601933
1,0.000000,4.501924,26.646337,31.148260
1,0.000000,4.399109,26.664389,31.063497
1,0.000000,4.586339,26.641639,31.227978
1,0.000000,6.428092,26.657303,33.085395
1,0.000000,4.570123,26.847444,31.417566
2,0.869751,3.620658,14.446933,18.937342
2,0.864990,3.354201,14.346912,18.566103
2,0.872061,3.499777,14.387733,18.759571
2,0.880683,3.559615,14.421338,18.861635
2,0.868283,3.513165,14.404318,18.785766
2,0.869735,3.440145,14.394205,18.704085
2,0.863516,3.463665,14.330608,18.657789
2,0.870635,3.514541,14.396962,18.782138
2,0.862708,3.515050,14.369318,18.747076
2,0.870066,3.540542,14.373353,18.783961
3,1.503788,4.323541,11.120646,16.947975
3,1.501506,3.302354,11.187190,15.991050
3,1.503389,3.275982,11.194554,15.973925
3,1.539431,3.275130,11.103535,15.918096
3,1.541515,3.263894,11.109806,15.915215
3,1.553699,3.082893,11.151099,15.787692
3,2.347302,2.555774,12.523618,17.426694
3,2.065377,3.190580,11.171776,16.427734
3,1.491582,2.773479,11.131996,15.397056
3,1.548642,3.088127,11.094624,15.731393
4,1.382151,3.668344,9.181301,14.231797
4,1.384546,3.756696,9.182111,14.323353
4,1.398893,3.119502,9.198454,13.716848
4,1.326258,3.440810,9.210476,13.977544
4,1.440837,3.176220,9.185944,13.803001
4,1.525674,3.610678,9.422081,14.558433
4,1.370561,2.597827,10.307269,14.275657
4,1.371487,2.720786,9.935713,14.027986
4,1.741711,2.929937,9.634992,14.306641
4,1.375774,3.306060,9.768134,14.449968
5,1.177534,2.372521,8.167448,11.717504
5,1.141222,2.158867,8.190667,11.490757
5,1.161657,2.520289,8.218742,11.900688
5,1.161072,2.381397,8.202020,11.744489
5,1.187821,2.708921,8.198532,12.095274
5,1.164282,2.628213,8.182098,11.974594
5,3.388833,2.807733,8.799973,14.996538
5,1.172039,2.400254,8.210486,11.782780
5,1.163788,2.643288,8.189870,11.996946
5,1.155181,2.470966,8.221980,11.848127
6,1.056829,2.107501,7.338021,10.502351
6,1.058345,2.000730,7.348697,10.407771
6,1.344152,2.134957,7.052911,10.532020
6,1.052958,2.195849,7.333301,10.582108
6,1.433221,2.473244,7.795727,11.702193
6,1.052861,3.080587,7.325438,11.458886
6,1.125099,2.312400,7.562417,10.999916
6,1.056890,2.551281,7.366891,10.975063
6,1.077851,2.254420,7.339671,10.671942
6,1.057965,1.943405,7.341664,10.343033
7,1.051504,2.628810,7.000319,10.680633
7,1.041442,3.103051,7.002587,11.147080
7,1.055364,2.290842,7.003212,10.349419
7,1.048646,2.922300,7.017672,10.988619
7,1.060087,2.688975,6.997422,10.746485
7,1.047830,3.036568,7.009175,11.093573
7,1.041072,3.186784,7.011366,11.239222
7,1.047779,2.595584,7.003317,10.646679
7,1.042058,2.660793,7.021492,10.724343
7,1.079919,2.645622,6.988637,10.714178
8,1.142576,2.833372,7.044105,11.020053
8,1.200693,2.187502,7.014859,10.403055
8,1.142250,2.523756,7.032879,10.698885
8,1.156423,2.971860,7.017442,11.145724
8,1.163184,2.608851,7.023739,10.795775
8,1.168073,2.907053,7.037462,11.112589
8,1.146738,2.617962,7.038213,10.802913
8,1.170954,2.383879,7.005048,10.559882
8,1.327241,2.835033,6.870475,11.032748
8,1.136979,2.739803,7.032853,10.909635
9,1.498253,3.356047,6.898421,11.752721
9,1.576142,4.196068,8.768831,14.541041
9,1.504462,2.649818,6.897638,11.051918
9,1.514543,4.754742,6.896610,13.165896
9,1.491844,2.298581,6.890073,10.680498
9,1.489726,5.824545,6.898989,14.213260
9,1.493353,4.350764,6.903286,12.747403
9,1.509202,2.566798,6.911131,10.987131
9,1.487871,2.968276,6.907234,11.363381
9,1.501566,2.939075,6.906819,11.347460
10,1.669623,1.965429,6.488020,10.123072
10,1.669756,1.825051,6.507048,10.001854
10,1.660725,2.135105,6.493929,10.289758
10,1.669285,2.507108,6.507102,10.683494
10,1.662976,2.575141,6.495890,10.734007
10,1.657974,2.805587,6.501073,10.964635
10,1.667737,2.952058,6.492160,11.111956
10,1.663591,2.902735,6.508358,11.074685
10,1.663999,2.630337,6.490400,10.784736
10,1.665905,2.740113,6.504698,10.910716
11,1.552055,2.836463,6.272395,10.660914
11,1.542438,2.240538,6.283472,10.066447
11,1.546889,2.469087,6.276980,10.292957
11,1.549629,1.630183,6.271439,9.451251
11,1.547221,2.739712,6.286784,10.573718
11,1.541079,1.089623,6.275672,8.906373
11,1.548313,2.749788,6.284584,10.582684
11,1.545205,2.842399,6.266013,10.653616
11,1.544273,2.614601,6.292602,10.451476
