Process,Comm,IO,CPU,Total
11,1.549735,1.879911,6.257722,9.687368
12,1.732183,0.866929,5.980775,8.579888
12,1.718189,2.687146,5.990647,10.395981
12,1.731018,2.916704,5.968616,10.616339
12,1.729914,2.640521,5.982625,10.353059
12,1.732091,2.373792,5.975350,10.081233
12,1.720493,2.427485,5.969374,10.117352
12,1.725261,2.576923,5.984430,10.286614
12,1.731748,2.778224,5.977417,10.487388
12,1.722757,2.543559,5.973575,10.239891
12,1.721266,1.899480,5.979126,9.599872
13,1.616161,1.754584,5.885133,9.255877
13,1.616774,2.715496,5.907760,10.240030
13,1.613584,2.881377,5.887524,10.382485
13,1.612646,2.704125,5.890812,10.207583
13,1.623540,2.993966,5.881201,10.498706
13,1.610591,2.591448,5.894376,10.096415
13,1.611624,2.938674,5.883906,10.434203
13,1.619822,2.781272,5.877379,10.278472
13,1.612817,2.959544,5.887869,10.460230
13,1.620436,5.894360,5.882089,13.396886
14,3.367919,3.010131,8.445074,14.823123
14,1.815703,3.861936,5.629320,11.306959
14,1.900392,2.542064,5.539042,9.981498
14,3.360745,2.785901,8.724057,14.870703
14,1.807261,2.754951,5.636958,10.199170
14,1.423298,2.376097,5.744904,9.544299
14,1.801264,1.634041,5.640091,9.075395
14,1.821538,2.171002,5.634992,9.627532
14,1.820314,1.847594,5.631903,9.299811
14,1.821406,1.699695,5.635159,9.156261
15,1.797118,2.823850,5.679506,10.300474
15,1.797336,2.393060,6.205777,10.396174
15,1.798780,1.405001,5.678939,8.882721
15,1.801944,2.880507,5.678192,10.360642
15,1.792987,2.633642,5.684448,10.111078
15,1.791272,2.828420,5.682234,10.301926
15,1.801569,2.225131,5.684311,9.711011
15,1.790333,2.065520,5.679093,9.534945
15,1.797026,1.441115,5.684640,8.922782
15,1.793778,2.214919,5.685963,9.694660
16,1.898416,0.767432,5.665664,8.331512
16,1.860492,2.455570,5.688954,10.005017
16,1.888893,2.411189,5.670014,9.970096
16,1.887551,2.813509,5.653165,10.354225
16,1.834323,2.653969,6.232311,10.720604
16,1.869305,2.544573,5.692162,10.106039
16,1.899884,1.661518,5.669192,9.230594
16,1.873666,2.750941,5.677923,10.302529
16,1.902106,2.369944,5.664086,9.936136
16,1.888359,1.041332,5.665545,8.595236
17,1.774886,2.531406,5.785929,10.092221
17,1.767765,2.147770,5.785544,9.701078
17,1.770932,2.625199,5.896968,10.293099
17,1.737073,0.879755,5.668168,8.284996
17,1.777284,2.721028,5.778204,10.276516
17,1.767660,1.557861,5.785586,9.111107
17,1.761084,2.754069,5.783033,10.298185
17,1.769586,2.641556,6.519886,10.931028
17,1.770187,0.969779,5.781251,8.521216
17,1.775343,2.429774,7.019296,11.224413
18,1.816211,2.721926,5.794236,10.332373
18,1.817470,3.016489,6.116153,10.950112
18,1.738459,2.992759,5.554038,10.285256
18,1.823117,2.432495,5.599694,9.855306
18,1.829670,1.998077,5.602725,9.430473
18,1.826502,2.041280,5.587389,9.455171
18,1.817818,2.013776,5.605529,9.437122
18,1.820943,3.185187,5.627434,10.633564
18,1.823132,2.665382,5.613485,10.101999
18,1.816907,1.547039,5.588977,8.952924
19,1.741311,2.353244,5.543830,9.638385
19,1.737332,2.443975,5.536736,9.718043
19,1.752273,2.127374,5.547113,9.426760
19,1.737527,2.695651,5.537960,9.971138
19,1.210550,2.384569,5.846610,9.441730
19,3.093702,2.819273,8.573396,14.486371
19,1.723539,5.176847,6.416842,13.317227
19,1.736132,2.551960,5.576864,9.864955
19,1.728990,2.753114,6.429654,10.911758
19,1.745561,2.781566,5.535590,10.062717
20,3.146020,1.592058,8.483767,13.221845
20,0.726270,1.620510,6.371706,8.718486
20,1.788129,2.059191,5.441582,9.288902
20,1.803057,2.279433,5.428334,9.510824
20,1.796890,2.444333,5.435494,9.676718
20,1.798532,2.262533,5.426376,9.487441
20,1.806903,2.281126,5.438307,9.526335
20,1.798050,2.460138,5.798331,10.056520
20,1.803978,2.774385,5.427062,10.005426
20,1.801931,2.411255,5.427153,9.640339
21,1.723790,2.876333,5.397339,9.997462
21,1.724121,1.523432,5.403083,8.650636
21,1.733568,2.164445,5.411652,9.309665
21,1.716003,1.582824,5.405401,8.704228
21,1.726360,2.180653,5.451234,9.358247
21,3.203056,2.157905,8.283482,13.644444
21,1.720294,2.668289,6.650493,11.039077
21,1.732859,2.665243,5.392613,9.790715
21,1.729989,3.838283,5.495179,11.063451
21,1.727044,2.945318,5.805568,10.477930
22,1.737510,2.828121,5.197993,9.763625
22,1.894140,2.488572,8.562185,12.944896
22,1.223400,1.295966,5.668825,8.188191
22,1.438345,0.727624,5.611096,7.777065
22,1.453569,2.477672,5.575606,9.506847
22,1.444189,2.631666,5.550264,9.626120
22,1.439980,2.630162,5.579178,9.649320
22,1.437233,1.109513,5.557798,8.104544
22,1.444252,1.729613,5.566775,8.740640
22,1.455536,2.302304,5.567799,9.325639
23,1.253998,2.215056,5.631755,9.100808
23,1.242963,2.483419,5.626742,9.353125
23,1.232337,9.538167,5.665138,16.435642
23,1.226668,1.132251,5.673713,8.032632
23,1.238399,3.412257,5.637744,10.288400
23,1.230963,1.988025,5.666093,8.885081
23,1.256010,2.711678,5.630129,9.597817
23,1.232945,4.138168,5.671210,11.042322
23,1.253003,1.943873,5.641106,8.837983
23,1.234661,1.095210,5.660215,7.990086
24,1.387033,0.621438,5.513057,7.521527
24,1.418271,1.525124,5.465666,8.409060
24,1.411092,2.423576,5.484573,9.319241
24,1.417626,2.648967,5.465867,9.532459
24,1.419021,0.650575,5.485001,7.554598
24,1.399003,2.587138,5.446271,9.432412
24,1.390418,2.727435,5.548859,9.666712
24,1.403385,2.640460,5.469001,9.512846
24,1.398424,2.767440,5.514734,9.680598
24,1.406824,1.780010,5.476476,8.663309
25,1.235494,2.470118,5.572444,9.278055
25,1.243833,2.152293,5.536896,8.933022
25,1.242476,2.855930,5.563836,9.662243
25,1.236414,1.294001,5.550928,8.081343
25,1.249177,2.603197,5.544437,9.396811
25,1.255773,2.730189,5.532587,9.518549
25,1.235466,2.649107,5.540761,9.425334
25,1.240845,1.988268,5.552213,8.781326
25,1.253870,2.668782,5.546146,9.468797
25,1.223390,1.536459,5.557915,8.317764
26,1.745166,1.699210,5.082640,8.527016
26,1.765797,2.424763,5.048317,9.238876
26,1.778147,2.426504,5.040384,9.245036
26,1.753035,2.692506,5.071428,9.516970
26,1.767315,2.912017,5.041913,9.721245
26,1.764356,2.623822,5.069542,9.457721
26,1.767791,2.676453,5.054585,9.498829
26,1.752287,0.597474,5.044016,7.393777
26,1.749465,2.423278,5.074374,9.247118
26,1.733447,0.724558,5.097657,7.555661
27,1.713049,1.088940,4.998053,7.800043
27,1.682016,2.738419,5.029936,9.450371
27,1.611821,2.762536,7.620725,11.995082
27,1.691682,1.381011,5.043705,8.116398
27,3.124348,2.846763,7.562044,13.533156
27,1.679633,5.608218,5.737878,13.025729
27,1.717985,3.423769,5.030525,10.172280
27,3.121298,4.399502,7.637771,15.158571
27,1.680135,2.053298,5.123285,8.856718
27,3.127566,3.298166,7.636454,14.062187
28,1.695412,2.229550,4.953282,8.878244
28,1.717808,2.036053,5.023585,8.777446
28,1.709417,2.497435,5.028091,9.234943
28,1.713926,1.818208,5.022792,8.554926
28,1.725561,2.643301,5.002058,9.370920
28,1.711069,1.856501,5.010039,8.577608
28,1.721825,2.648984,4.997009,9.367818
28,1.720527,2.528151,5.015804,9.264482
28,1.717396,1.805795,5.012355,8.535545
28,1.725456,2.680531,5.018804,9.424790
29,1.654164,2.509968,5.019746,9.183878
29,1.668797,2.468902,4.980905,9.118604
29,1.677808,0.551581,4.978523,7.207912
29,1.663222,1.993883,5.043994,8.701099
29,1.673220,2.552289,5.003828,9.229337
29,1.651880,1.574613,5.018805,8.245298
29,1.656928,0.552718,5.619580,7.829226
29,1.669481,1.904662,5.002340,8.576483
29,1.682669,2.570056,5.713197,9.965922
29,3.055495,2.901274,7.268215,13.224984
30,3.185515,2.746010,7.101514,13.033040
30,1.717492,2.049286,4.981038,8.747816
30,1.740920,1.884739,4.940665,8.566324
30,1.706813,2.406126,4.963555,9.076494
30,1.716205,2.711079,4.936110,9.363394
30,1.724480,1.564559,4.951601,8.240641
30,1.717739,2.287289,4.946612,8.951640
30,1.708694,1.463819,4.967067,8.139580
30,1.720210,2.557123,4.943333,9.220667
30,1.718115,1.481875,4.941009,8.140999
31,1.683356,2.748248,5.188791,9.620395
31,1.654543,2.753307,5.207197,9.615047
31,1.670474,2.450639,4.997880,9.118993
31,1.660515,2.650919,4.981330,9.292765
31,1.693311,2.477935,4.966615,9.137862
31,1.624169,2.749424,4.790709,9.164302
31,1.669891,2.871879,4.806512,9.348283
31,1.681866,2.711295,4.990553,9.383714
31,1.643642,2.135731,5.023228,8.802601
31,1.700205,1.886688,4.994737,8.581630
32,1.720319,2.350972,4.936470,9.007760
32,1.704024,1.584654,4.977658,8.266336
32,1.711975,3.266251,4.956413,9.934638
32,1.697103,0.520188,4.948751,7.166042
32,1.694216,0.607793,4.952958,7.254966
32,1.695505,2.784614,4.947268,9.427387
32,1.702874,2.405151,4.957970,9.065994
32,1.688790,2.760438,4.990239,9.439466
32,1.721629,0.600731,4.944268,7.266628
32,1.643938,2.743426,4.837830,9.225193
33,1.657078,1.894850,4.953610,8.505538
33,1.690544,2.303449,4.934617,8.928610
33,1.651574,1.831891,4.951073,8.434538
33,1.673751,2.396581,4.955842,9.026174
33,1.674178,2.613398,4.945313,9.232889
33,1.664874,2.603977,4.938329,9.207179
33,1.674908,2.707076,4.946308,9.328291
33,1.652126,2.783940,4.950127,9.386193
33,1.666567,2.300966,4.951314,8.918848
33,1.660158,2.202858,4.965268,8.828283
34,1.695511,2.579256,4.897617,9.172383
34,1.691749,2.343476,4.894640,8.929865
34,1.706483,2.486229,4.889420,9.082133
34,1.710470,2.083803,4.885001,8.679274
34,1.721896,2.209922,4.885038,8.816856
34,1.696081,1.832198,4.884675,8.412953
34,1.708956,2.237654,4.887964,8.834574
34,1.689604,2.647225,4.891517,9.228346
34,1.719287,1.502743,4.888312,8.110342
34,1.703331,2.217574,7.240250,11.161156
35,1.655215,1.355977,4.866450,7.877642
35,1.653744,1.958969,4.869832,8.482545
35,1.650440,0.587090,4.857698,7.095228
35,3.099178,2.587726,6.975268,12.662172
35,1.667202,2.109375,4.775725,8.552302
35,1.649866,0.603419,4.894352,7.147637
35,1.667753,1.192187,4.866836,7.726776
35,1.638288,2.726683,8.532637,12.897607
35,1.652843,2.833582,4.857998,9.344423
35,1.662340,2.305851,4.935993,8.904184
36,1.706795,2.715848,4.847762,9.270404
36,2.933488,1.173892,6.647369,10.754749
36,1.371104,2.803175,8.478270,12.652549
36,1.705854,2.752383,4.786517,9.244755
36,1.726686,1.874272,4.911303,8.512261
36,1.716658,2.719935,4.814765,9.251359
36,1.695835,2.486061,4.865080,9.046975
36,1.704726,2.385747,4.795685,8.886158
36,1.718273,1.713114,4.803016,8.234402
36,1.737481,2.862539,4.831692,9.431711
37,1.676279,0.552662,4.864621,7.093561
37,1.685616,0.512330,4.842086,7.040031
37,2.975794,2.105575,6.903518,11.984887
37,1.658833,1.633414,4.836399,8.128646
37,1.680160,0.624955,4.842190,7.147305
37,3.056497,1.562884,6.882035,11.501415
37,3.060671,1.836344,6.864674,11.761688
37,1.649186,1.446661,5.063357,8.159204
37,3.071783,1.387085,6.867257,11.326125
37,1.626274,2.853636,4.928759,9.408669
38,1.735037,1.378150,4.782643,7.895830
38,1.691937,2.793936,8.983543,13.469416
38,1.694607,2.763645,4.801737,9.259989
38,1.706729,2.823070,4.795248,9.325047
38,1.660712,2.070922,5.209499,8.941133
38,1.768986,2.276034,4.772140,8.817160
38,1.991908,2.518877,7.555434,12.066218
38,1.689126,2.801843,5.194730,9.685698
38,1.693512,0.965700,4.813238,7.472450
38,1.675143,1.820853,5.282084,8.778080
39,1.663514,1.630337,4.766856,8.060707
39,1.643726,2.746482,4.839592,9.229800
39,1.670019,2.449072,4.768135,8.887226
39,1.650622,2.076330,5.189114,8.916065
39,1.650604,2.236178,4.867318,8.754099
39,1.650218,1.467811,5.187169,8.305198
39,1.659951,2.008066,4.798008,8.466025
39,1.656367,1.831178,5.316191,8.803736
39,1.638345,1.825570,5.188059,8.651974
39,1.654277,3.303212,4.807247,9.764736
40,1.677188,2.746771,5.234588,9.658547
40,1.672632,2.805562,5.270276,9.748469
40,1.722102,1.735018,4.775562,8.232682
40,1.679948,3.665660,8.487098,13.832706
40,1.667212,2.914702,8.468178,13.050093
40,1.699998,2.822672,4.798261,9.320931
40,1.661875,1.722608,5.222838,8.607320
40,1.693471,2.588865,4.779498,9.061834
40,1.677909,0.960800,5.221990,7.860698
40,1.705684,2.064242,4.772333,8.542260
41,1.655028,1.557777,5.250265,8.463069
41,1.677053,2.288129,4.747917,8.713099
41,1.666800,2.002953,4.770479,8.440233
41,1.619170,0.542281,8.784068,10.945519
41,1.661824,0.474530,4.785163,6.921517
41,1.635718,1.622715,5.264634,8.523068
41,1.655475,3.222399,4.777867,9.655742
41,1.636850,1.924345,5.261624,8.822819
41,1.678211,0.529080,4.756165,6.963456
41,1.650205,1.335151,5.254535,8.239891
42,1.684565,10.365004,4.786451,16.836020
42,1.838201,1.994197,8.327224,12.159622
42,1.795961,2.132453,8.374307,12.302720
42,1.680180,2.435904,4.820231,8.936316
42,1.700808,1.808578,7.230820,10.740206
42,1.674013,2.826767,4.782321,9.283101
42,1.680572,2.698238,5.596685,9.975495
42,1.669364,2.903169,4.797380,9.369913
42,1.674521,2.415393,5.355118,9.445032
42,1.678502,1.073519,4.785102,7.537124
43,1.644909,3.555965,6.737738,11.938612
43,1.636246,2.711021,4.796755,9.144021
43,1.651537,2.064831,5.483028,9.199397
43,1.657853,2.652774,4.825337,9.135964
43,1.635652,2.039074,5.494656,9.169382
43,1.637262,0.483886,4.838227,6.959374
43,1.666284,0.438293,5.476331,7.580908
43,1.633405,1.849410,4.853169,8.335985
43,1.658680,2.531637,5.493766,9.684083
43,1.643107,2.569439,4.826039,9.038585
44,2.126426,2.340283,7.851445,12.318154
44,1.695251,2.614441,4.770423,9.080115
44,1.669541,2.543251,5.839089,10.051881
44,1.670877,2.764108,5.828084,10.263070
44,1.737724,2.564897,4.678624,8.981246
44,1.694155,1.349621,5.810012,8.853788
44,1.669811,1.712433,5.823618,9.205863
44,1.692116,3.245702,4.755944,9.693763
44,2.097076,1.535926,7.871427,11.504429
44,1.692118,2.146917,4.752088,8.591123
45,1.622038,2.518120,6.701086,10.841244
45,1.657725,1.479847,6.673630,9.811202
45,1.662049,0.426974,4.759889,6.848912
45,1.635948,2.770023,6.698447,11.104418
45,1.657323,2.707696,4.765915,9.130934
45,1.639812,1.185075,6.687962,9.512849
45,1.639526,1.846838,4.758425,8.244790
45,1.634312,2.700805,6.703244,11.038360
45,1.691258,2.441036,4.737714,8.870008
45,1.405084,1.307727,4.963935,7.676745
46,1.368487,1.364414,7.496492,10.229393
46,1.430022,1.725455,4.950491,8.105968
46,1.363886,2.719169,7.501093,11.584148
46,1.446184,2.783156,4.931109,9.160449
46,1.437714,2.597567,4.950084,8.985366
46,1.486695,1.852199,4.949479,8.288372
46,1.423898,2.651842,8.941105,13.016845
46,1.369237,2.489329,7.492819,11.351385
46,1.398799,2.576266,4.979698,8.954762
46,1.458429,2.840361,4.987645,9.286435
47,1.344702,1.483784,8.391208,11.219693
47,1.413051,2.673575,4.990194,9.076819
47,1.325497,2.733288,8.422293,12.481079
47,1.399720,1.572824,4.986718,7.959262
47,1.384097,2.174830,8.824740,12.383667
47,1.387654,1.546519,8.820131,11.754304
47,1.329283,2.015238,8.403117,11.747638
47,1.401235,0.958653,4.978108,7.337997
47,1.346051,3.095702,8.620259,13.062012
47,1.405346,1.660062,4.999930,8.065338
48,1.349442,2.601763,9.024671,12.975876
48,1.439704,1.870606,4.956299,8.266609
48,1.374325,2.780087,9.000985,13.155398
48,1.423419,3.952497,4.966683,10.342599
48,1.435543,1.868132,8.922411,12.226086
48,1.407108,2.993768,5.034224,9.435100
48,1.358484,2.354340,9.015753,12.728577
48,1.360930,1.584239,9.013214,11.958383
48,1.423240,1.866680,4.988455,8.278375
48,1.431747,2.422791,4.976311,8.830848
