Process,Comm,IO,CPU,Total
1,0.000000,4.558848,27.058933,31.617780
1,0.000000,4.519186,27.079899,31.599085
1,0.000000,4.557913,27.074341,31.632254
1,0.000000,4.500438,27.110440,31.610877
1,0.000000,4.803455,27.167377,31.970833
1,0.000000,4.365028,27.206006,31.571034
1,0.000000,4.367799,27.212221,31.580020
1,0.000000,4.495289,27.233609,31.728898
1,0.000000,4.588188,27.036360,31.624548
1,0.000000,4.595425,27.045433,31.640859
2,0.803371,3.568872,14.628071,19.000314
2,0.802876,3.648742,14.657599,19.109217
2,0.806486,3.544406,14.648953,18.999846
2,0.802572,3.296601,14.657542,18.756714
2,0.807718,3.605859,14.651974,19.065551
2,0.805283,3.455360,14.647642,18.908285
2,0.806408,3.542277,14.649055,18.997740
2,0.818913,3.388529,14.670827,18.878270
2,0.805435,3.427969,14.689436,18.922839
2,0.899676,3.683764,14.625900,19.209340
3,1.438964,2.933759,11.136485,15.509208
3,1.425921,3.145997,11.169307,15.741225
3,1.486397,2.915396,11.247389,15.649182
3,1.425679,3.077700,11.192773,15.696152
3,1.443478,3.154109,11.215242,15.812829
3,1.413420,3.180733,11.198187,15.792341
3,1.437919,3.091471,11.212660,15.742049
3,1.425743,3.077081,11.191492,15.694316
3,1.439896,2.908817,11.215268,15.563981
3,1.424550,3.029882,11.197613,15.652045
4,1.268725,2.742840,9.353899,13.365464
4,1.237318,3.002955,9.363011,13.603285
4,1.258266,3.288354,9.414215,13.960836
4,1.238427,2.992161,9.353553,13.584140
4,1.255666,2.978575,9.384490,13.618731
4,1.226053,2.764273,9.348436,13.338762
4,1.266096,2.444795,9.379868,13.090759
4,1.227987,3.236624,9.349692,13.814303
4,1.232890,2.685483,9.375949,13.294322
4,1.230025,2.762272,9.347025,13.339322
5,1.072358,3.197270,8.657704,12.927332
5,1.058774,2.760052,8.624137,12.442963
5,1.050090,2.897539,8.670405,12.618034
5,1.066876,2.423423,8.729665,12.219965
5,1.076670,2.023115,8.699127,11.798913
5,1.063905,3.184746,8.656559,12.905209
5,1.060357,3.131643,8.667408,12.859409
5,1.062939,3.024228,8.692619,12.779785
5,1.048839,3.070955,8.658170,12.777963
5,1.118099,3.066538,8.673330,12.857967
6,1.439256,2.929696,7.767622,12.136575
6,1.419259,2.409893,7.796599,11.625751
6,1.432967,2.449526,7.717102,11.599595
6,1.413552,3.095134,7.792258,12.300944
6,1.411458,3.115218,7.706249,12.232926
6,1.455062,2.828911,7.704818,11.988791
6,1.435295,2.453902,7.784746,11.673943
6,1.433517,3.064647,7.684865,12.183029
6,1.400939,2.877402,7.791187,12.069528
6,1.450101,2.830880,7.767348,12.048329
7,1.572532,2.957662,7.507810,12.038004
7,1.583223,2.676009,7.497497,11.756729
7,1.576722,2.645240,7.506480,11.728442
7,1.581647,2.784767,7.512197,11.878610
7,1.582155,2.813840,7.508519,11.904514
7,1.563050,2.194617,7.494432,11.252098
7,1.577620,2.632653,7.507226,11.717500
7,1.594227,2.401911,7.482689,11.478827
7,1.585862,2.848874,7.510731,11.945467
7,1.578213,2.887231,7.490908,11.956353
8,1.757432,2.505924,7.134887,11.398243
8,1.772573,2.240854,7.109146,11.122573
8,1.765525,2.758077,7.128425,11.652027
8,1.772011,1.830228,7.124803,10.727042
8,1.760419,2.878255,7.135386,11.774060
8,1.774356,2.319178,7.125592,11.219126
8,1.763304,1.612526,7.135255,10.511085
8,1.772193,2.877873,7.124228,11.774294
8,1.771762,2.495142,7.117632,11.384536
8,1.769936,2.699957,7.122340,11.592232
9,1.690906,1.478511,7.072082,10.241499
9,1.644573,2.031890,6.947014,10.623477
9,1.650063,1.860821,6.943532,10.454417
9,1.644882,2.716452,6.952859,11.314193
9,1.640336,1.836389,6.945278,10.422003
9,1.647013,2.401537,6.960069,11.008618
9,1.646112,2.830095,6.955192,11.431399
9,1.646099,1.651604,6.943547,10.241250
9,1.642726,2.673996,6.947250,11.263973
9,1.644571,1.754117,6.943957,10.342645
10,1.875830,1.601843,6.480388,9.958061
10,1.876560,2.580570,6.488766,10.945895
10,1.894265,1.721035,6.477215,10.092515
10,1.865387,1.956651,6.491974,10.314012
10,1.876145,2.610615,6.489843,10.976604
10,1.869185,2.598939,6.493703,10.961827
10,1.870935,1.223037,6.490929,9.584901
10,1.869322,1.702536,6.493862,10.065720
10,1.875319,1.880292,6.492858,10.248468
10,1.875906,1.843699,6.487130,10.206735
11,1.732781,2.587356,6.303947,10.624083
11,1.721230,2.679523,6.305012,10.705765
11,1.718938,2.588691,6.309006,10.616635
11,1.724510,1.978565,6.305794,10.008869
11,1.729375,1.774685,6.310385,9.814445
11,1.727633,2.551701,6.303317,10.582651
11,1.721087,1.129539,6.302759,9.153385
11,1.714977,1.941072,6.316394,9.972444
11,1.721876,2.061779,6.315899,10.099553
11,1.733011,2.568343,6.312059,10.613413
12,1.827666,2.539259,6.063730,10.430654
12,1.817809,2.851578,6.063300,10.732687
12,1.786272,2.796848,6.070733,10.653853
12,1.809771,2.593886,6.066538,10.470195
12,1.828180,2.034709,6.066499,9.929388
12,1.814237,2.511578,6.064595,10.390410
12,1.825816,2.249920,6.053072,10.128807
12,3.325842,2.630508,9.295659,15.252009
