Process,Comm,IO,CPU,Total
1,0.000000,4.919247,24.447357,29.366604
1,0.000000,5.593680,26.792301,32.385981
1,0.000000,5.837369,28.753328,34.590697
1,0.000000,4.614400,28.773183,33.387583
1,0.000000,4.686623,26.961611,31.648234
1,0.000000,4.559829,27.037866,31.597695
1,0.000000,4.539115,26.995820,31.534935
1,0.000000,4.738488,27.289156,32.027644
1,0.000000,4.866952,27.287515,32.154467
1,0.000000,7.346250,27.371619,34.717869
2,0.892756,2.798499,16.249500,19.940755
2,0.749837,3.103323,16.284480,20.137640
2,0.802437,3.258007,14.488601,18.549045
2,0.806951,3.520440,14.506320,18.833711
2,0.787883,3.012038,14.478969,18.278889
2,0.808076,3.415658,14.519611,18.743345
2,0.777877,3.447646,14.497348,18.722872
2,0.806136,3.438226,14.493074,18.737435
2,0.797123,3.169640,14.505959,18.472722
2,0.796582,3.438927,14.522895,18.758403
3,1.468541,3.362207,11.448766,16.279515
3,1.334980,2.115817,11.292962,14.743758
3,1.338219,3.092866,11.290090,15.721176
3,1.441104,3.031574,11.420936,15.893614
3,1.290256,3.294176,11.321970,15.906402
3,1.322578,17.233239,11.302364,29.858181
3,1.343298,3.320919,11.258610,15.922828
3,1.297698,3.005414,11.287881,15.590992
3,1.320245,2.040124,11.270862,14.631231
3,1.295764,2.019354,11.291637,14.606754
4,1.415946,2.939212,9.509940,13.865099
4,1.417901,3.060290,9.519756,13.997947
4,1.416751,2.999142,9.514392,13.930284
4,1.417988,2.924226,9.523706,13.865920
4,1.427937,2.958830,9.510778,13.897544
4,1.449084,3.001318,9.538840,13.989242
4,1.569224,1.820473,9.640989,13.030686
4,1.408451,3.080508,9.507092,13.996051
4,1.427828,2.616999,9.519628,13.564455
4,1.444160,2.590883,9.501866,13.536910
5,1.274093,2.820243,8.699133,12.793469
5,1.327316,2.931896,8.681322,12.940535
5,1.328218,2.593441,8.671436,12.593095
5,1.340538,3.146551,8.653112,13.140201
5,1.328687,2.105738,8.685297,12.119722
5,1.341461,2.810368,8.679473,12.831302
5,1.296008,1.539274,8.690571,11.525853
5,1.328030,1.921231,8.681444,11.930705
5,1.306358,2.815163,8.731478,12.853000
5,1.434312,2.818530,8.763850,13.016692
6,1.393171,2.441030,7.676095,11.510296
6,1.692316,1.690891,7.951913,11.335120
6,1.692252,1.674616,7.945864,11.312733
6,1.683321,2.486200,7.950552,12.120073
6,1.680194,2.102669,7.949981,11.732844
6,1.661939,2.018871,7.940032,11.620842
6,1.648713,2.210011,7.956331,11.815055
6,1.675144,1.763919,7.959161,11.398224
6,1.678122,1.312867,7.945608,10.936597
6,1.692276,2.535319,7.950228,12.177823
7,1.570438,2.727104,7.381689,11.679231
7,1.582280,2.286521,7.365226,11.234027
7,1.587364,2.540248,7.376702,11.504314
7,1.579306,2.688069,7.372984,11.640359
7,1.578684,2.332082,7.392988,11.303754
7,1.583361,2.698123,7.380310,11.661794
7,1.583934,2.170015,7.379026,11.132975
7,1.580524,1.613249,7.380216,10.573989
7,1.576224,1.542206,7.380652,10.499082
7,1.574073,1.472033,7.387241,10.433348
8,1.686090,0.732736,7.039526,9.458352
8,1.684895,2.793369,7.040312,11.518575
8,1.671932,2.523001,7.037078,11.232011
8,1.674527,2.730241,7.042566,11.447334
8,1.697743,1.974371,7.043746,10.715860
8,1.688263,2.875585,7.047908,11.611756
8,1.670703,2.269421,7.030631,10.970756
8,1.677000,2.894812,7.037678,11.609490
8,1.685842,2.829278,7.040077,11.555196
8,1.669327,2.097972,7.040193,10.807493
9,1.583039,2.194930,6.884610,10.662579
9,1.586526,2.357371,6.882450,10.826348
9,1.584187,1.325970,6.876284,9.786441
9,1.582200,1.889234,6.881039,10.352473
9,1.584899,2.562817,6.875777,11.023493
9,1.579415,1.768598,6.884821,10.232835
9,1.580227,1.612751,6.878221,10.071199
9,1.585384,2.007986,6.872636,10.466006
9,1.582895,2.694236,6.875383,11.152514
9,1.584554,2.622488,6.883838,11.090880
10,1.765403,2.200818,6.462431,10.428652
10,1.749605,2.599838,6.461061,10.810503
10,1.756521,2.572314,6.463343,10.792179
10,1.766925,0.941304,6.461341,9.169570
10,2.787154,0.598432,9.584693,12.970280
10,1.757541,1.097095,6.458521,9.313157
10,1.755237,2.622696,6.461265,10.839198
10,1.758822,1.197851,6.466368,9.423042
10,1.740949,2.646067,6.464713,10.851728
10,1.755099,2.399445,6.461308,10.615852
11,1.693695,1.242199,6.298427,9.234321
11,1.698351,1.643900,6.295913,9.638165
11,1.709638,0.746989,6.294774,8.751402
11,1.697019,1.179358,6.293972,9.170349
11,1.705192,2.477056,6.300356,10.482605
11,1.706927,2.607972,6.297338,10.612237
11,1.694700,2.205169,6.295683,10.195552
11,1.689957,2.649055,6.294541,10.633553
11,1.690768,2.521666,6.305487,10.517921
11,1.705135,1.738090,6.294196,9.737421
12,1.851750,2.343288,6.268527,10.463565
12,1.850388,1.602877,6.133746,9.587011
12,1.837386,2.583278,6.134117,10.554781
12,1.873137,2.084740,6.138548,10.096425
12,1.852506,2.434820,6.141312,10.428638
12,1.843166,0.442026,6.135694,8.420886
12,1.842772,0.442540,6.126595,8.411906
12,1.848462,2.724717,6.131286,10.704466
12,1.853727,2.538418,6.130562,10.522708
12,1.860184,0.406546,6.132626,8.399356
