Process,Comm,IO,CPU,Total
32,1.717235,1.581490,4.943094,8.241818
32,1.719499,2.143377,4.941376,8.804252
32,1.715624,0.464282,8.584083,10.763989
33,1.662307,1.271286,4.953620,7.887214
33,1.637343,2.725878,4.971534,9.334755
33,1.652074,2.826106,8.441606,12.919786
33,1.692333,1.917742,4.934305,8.544381
33,1.650473,2.366335,8.448100,12.464908
33,1.665893,2.366679,4.956401,8.988973
33,1.638973,2.651621,8.456819,12.747412
33,1.666320,1.941643,4.943192,8.551155
33,1.669088,2.745421,8.425324,12.839834
33,1.669460,0.472587,4.950143,7.092190
34,1.691227,0.486510,9.094464,11.272201
34,1.702064,2.287946,4.872656,8.862666
34,1.688786,1.039134,9.081646,11.809566
34,1.694235,1.753875,4.877420,8.325530
34,1.682131,1.606553,9.103832,12.392516
34,1.694735,2.720370,4.871298,9.286403
34,1.685409,1.380345,9.105538,12.171292
34,1.721674,1.390805,8.517375,11.629854
34,1.691168,1.721357,4.874158,8.286683
34,1.687993,2.719852,4.864275,9.272120
35,1.653936,2.506068,4.893719,9.053723
35,1.652980,2.860583,8.932225,13.445788
35,1.674567,2.244513,9.079441,12.998522
35,1.656503,2.323327,4.912124,8.891955
35,1.665558,0.914227,9.096987,11.676772
35,1.651701,1.842418,4.901986,8.396105
35,1.665436,2.753711,4.910107,9.329254
35,1.639905,2.884036,8.957496,13.481437
35,1.664401,2.620132,4.890978,9.175511
35,1.653434,2.412275,4.897274,8.962983
36,1.698173,2.715513,8.978366,13.392052
36,1.676197,0.433846,4.860763,6.970805
36,1.689916,2.850109,8.979404,13.519429
36,1.696710,2.744355,4.841868,9.282932
36,1.692112,0.486313,8.971959,11.150384
36,1.685365,2.666014,4.853026,9.204404
36,1.671246,1.451085,9.006072,12.128403
36,1.689918,2.597335,4.850179,9.137433
36,1.692060,0.461676,8.977053,11.130789
36,1.696607,2.072022,4.859373,8.628002
