ratio,test,iter,size,CPU,Comm,total
0.800000,24,15,74539,0.003150,0.000651,0.003801
0.800000,25,3,7,0.001736,0.000200,0.001937
0.800000,26,1,0,0.000636,0.000119,0.000756
0.800000,27,25,105315,0.002307,0.000611,0.002917
0.800000,28,32,879161,0.008938,0.003819,0.012757
0.800000,29,25,577138,0.066164,0.002713,0.068877
0.800000,30,25,35273572,0.597372,0.200882,0.798253
0.800000,31,21,15260061,0.511495,0.095029,0.606524
0.800000,32,3,6,0.120513,0.003412,0.123925
0.800000,33,13,301298769,6.015960,1.600790,7.616750
0.800000,34,13,176723133,5.524757,0.988048,6.512805
0.800000,35,13,301292847,6.843878,1.608257,8.452136
0.800000,36,13,32808716,3.097528,0.133984,3.231512
0.800000,37,13,23133421,2.298302,0.182327,2.480628
0.800000,38,13,301255742,6.902494,1.208337,8.110831
0.800000,39,25,295330371,4.852619,1.381155,6.233775
0.800000,40,9,64747788,3.548743,0.605687,4.154430
0.700000,1,3,1,0.000148,0.000293,0.000441
0.700000,2,15,7,0.010472,0.001748,0.012220
0.700000,3,21,10,0.084626,0.010542,0.095168
0.700000,4,0,0,0.000006,0.000000,0.000006
0.700000,5,1,0,0.000048,0.000063,0.000111
0.700000,6,11,33721,0.012735,0.002804,0.015539
0.700000,7,4,5486,0.000921,0.000498,0.001419
0.700000,8,1,0,0.014908,0.001187,0.016095
0.700000,9,25,50308,0.002614,0.000512,0.003127
0.700000,10,37,31921,0.014424,0.001888,0.016312
0.700000,11,14,7,0.009172,0.001515,0.010687
0.700000,12,0,0,0.000003,0.000000,0.000003
0.700000,13,16,8,0.019345,0.002169,0.021514
0.700000,14,16,6232,0.009392,0.001693,0.011085
0.700000,15,32,8308,0.035872,0.006805,0.042677
0.700000,16,12,28018,0.008893,0.000282,0.009175
0.700000,17,21,202543,0.021489,0.002746,0.024235
0.700000,18,13,71617,0.020718,0.002336,0.023054
0.700000,19,3,7,0.010217,0.001016,0.011233
0.700000,20,25,5639,0.001305,0.000261,0.001566
0.700000,21,36,10231,0.001819,0.000373,0.002192
0.700000,22,25,27872,0.005598,0.000375,0.005973
0.700000,23,25,201362,0.006108,0.001340,0.007448
0.700000,24,15,66273,0.004975,0.000686,0.005661
0.700000,25,3,7,0.000833,0.000065,0.000897
0.700000,26,1,0,0.001037,0.000060,0.001096
0.700000,27,25,96416,0.003979,0.000827,0.004806
0.700000,28,36,828130,0.014435,0.004300,0.018735
0.700000,29,25,526817,0.065186,0.002519,0.067705
0.700000,30,25,32274962,0.968660,0.246474,1.215134
0.700000,31,21,13536153,0.515681,0.091630,0.607311
0.700000,32,3,6,0.123171,0.005679,0.128850
0.700000,33,13,276223984,6.003001,1.485811,7.488811
0.700000,34,13,156471804,5.486050,0.884327,6.370377
0.700000,35,13,276216458,6.851672,1.480882,8.332554
0.700000,36,13,28707626,3.032401,0.118028,3.150429
0.700000,37,13,20430430,2.074044,0.141430,2.215474
0.700000,38,13,276169105,6.960993,1.128445,8.089439
0.700000,39,25,270224417,4.797408,1.443721,6.241129
